,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39
CUSTOMER.ND,0.320036,0.310486,0.088681,0.099080,0.145381,0.114125,0.084500,0.174541,0.210567,0.396002,0.201742,0.156823,0.145539,0.342377,0.121771,0.197755,0.340260,0.179592,0.261419,0.141700,0.173879,0.225951,0.203443,0.076704,0.104260,0.286413,0.069538,0.120629,0.303382,0.212652,0.304091,0.123405,0.095335,0.155136,0.100026,0.164077,0.069566,0.153930,0.248083
CUSTOMER.42572,0.234025,0.243611,0.108741,0.100830,0.127045,0.127921,0.117025,0.155911,0.230047,0.404371,0.239331,0.157193,0.222183,0.280116,0.104259,0.152026,0.298461,0.173140,0.320731,0.140493,0.157641,0.189607,0.223732,0.090114,0.095057,0.254075,0.094693,0.098523,0.269590,0.189917,0.267594,0.092492,0.072679,0.140842,0.062260,0.066542,0.066776,0.078981,0.230184
CUSTOMER.US,0.286522,0.277163,0.068827,0.078403,0.109860,0.088561,0.057022,0.186205,0.205045,0.405520,0.205337,0.118735,0.146702,0.328875,0.099363,0.168724,0.326743,0.175708,0.263372,0.129735,0.162491,0.227335,0.194889,0.055243,0.095640,0.281191,0.044708,0.107185,0.287544,0.193483,0.279896,0.091336,0.051861,0.132924,0.038402,0.127296,0.026075,0.128108,0.249905
CUSTOMER.1.1,0.297760,0.306662,0.117378,0.088331,0.131027,0.129582,0.089486,0.173499,0.238341,0.431217,0.246996,0.129448,0.201001,0.358513,0.116597,0.180091,0.370028,0.210303,0.320023,0.154060,0.185979,0.217068,0.274483,0.129928,0.139184,0.288781,0.111176,0.120362,0.316602,0.220279,0.313333,0.095347,0.084097,0.222245,0.072700,0.120435,0.071334,0.118759,0.236786
CUSTOMER.FQIVBKWIZC@dell.com,0.271372,0.264345,0.053117,0.112199,0.108733,0.106951,0.029582,0.141679,0.186663,0.364509,0.199696,0.127381,0.085076,0.309479,0.054183,0.107233,0.276591,0.123925,0.219178,0.086950,0.138084,0.209710,0.154497,0.012648,0.059548,0.241056,0.043026,0.076978,0.231569,0.147878,0.210407,0.067860,0.064664,0.133757,0.035708,0.092639,0.027011,0.081186,0.221895
CUSTOMER.1287944454,0.231090,0.240663,0.068644,0.068059,0.093106,0.084584,0.064192,0.154732,0.208500,0.364438,0.224056,0.121362,0.156667,0.274776,0.068836,0.151726,0.315716,0.154666,0.277916,0.115750,0.160451,0.191993,0.212514,0.071185,0.097159,0.268597,0.053370,0.079049,0.279141,0.182833,0.242781,0.064664,0.051031,0.111277,0.056512,0.069302,0.057491,0.070327,0.214120
CUSTOMER.1890860486775636,0.227635,0.235282,0.066135,0.061553,0.101344,0.085096,0.073272,0.146436,0.199473,0.353310,0.214603,0.125785,0.155672,0.271787,0.078688,0.152512,0.310557,0.149530,0.271369,0.119917,0.152271,0.191702,0.210330,0.079041,0.100522,0.267811,0.058992,0.070184,0.270915,0.178657,0.238250,0.053370,0.043918,0.103986,0.060973,0.059301,0.063526,0.085802,0.194787
CUSTOMER.2012/06,0.284190,0.262092,0.048579,0.036520,0.079146,0.077239,0.048182,0.152806,0.164938,0.422979,0.169633,0.094588,0.148529,0.333457,0.099265,0.153331,0.285106,0.146187,0.269343,0.097173,0.106716,0.234741,0.176368,0.031972,0.058580,0.287149,0.035360,0.101244,0.250775,0.153745,0.276631,0.098237,0.019156,0.153212,0.036122,0.069943,0.011078,0.100214,0.200114
CUSTOMER.user1,0.325945,0.317348,0.070028,0.073415,0.084261,0.079846,0.047601,0.156545,0.210948,0.402951,0.209312,0.095246,0.110256,0.354698,0.072681,0.125887,0.297784,0.147390,0.226652,0.100486,0.157590,0.224384,0.172006,0.003473,0.065103,0.248218,0.035660,0.106663,0.249927,0.175521,0.253173,0.107402,0.046202,0.127974,0.050256,0.108406,0.050436,0.144375,0.253578
CUSTOMER.49,0.247661,0.258732,0.113594,0.097827,0.124574,0.128506,0.081604,0.174104,0.234783,0.404268,0.248697,0.143518,0.204038,0.295519,0.081263,0.147218,0.308511,0.207297,0.307197,0.131677,0.152461,0.176293,0.252272,0.125774,0.119604,0.261214,0.081047,0.112419,0.274356,0.198772,0.278596,0.081968,0.068666,0.157411,0.062725,0.093078,0.068899,0.098460,0.237248
CUSTOMER.M,0.346027,0.336086,0.111267,0.116131,0.162809,0.149680,0.125057,0.184190,0.240031,0.456159,0.239165,0.173801,0.201689,0.386553,0.150876,0.190545,0.365197,0.202269,0.297076,0.174084,0.187030,0.263723,0.232545,0.071047,0.119485,0.303355,0.096424,0.148834,0.310492,0.225482,0.321351,0.117766,0.100500,0.179241,0.067884,0.128655,0.052943,0.134416,0.244573
inv_df.1,0.107339,0.130187,0.221960,0.239609,0.174957,0.197256,0.105897,0.184993,0.133718,0.300769,0.145589,0.180800,0.212345,0.147569,0.134104,0.233567,0.307282,0.174708,0.368169,0.342288,0.214172,0.164752,0.175661,0.134242,0.133478,0.303911,0.125169,0.167493,0.277657,0.250228,0.203208,0.172443,0.167754,0.131339,0.086793,0.126919,0.092930,0.126179,0.205942
inv_df.138,0.119659,0.138300,0.194622,0.204577,0.206113,0.221867,0.150971,0.189526,0.136169,0.281484,0.147447,0.214727,0.218277,0.153440,0.200252,0.257528,0.321662,0.163015,0.366186,0.316162,0.214528,0.179427,0.176989,0.118422,0.148341,0.316222,0.164825,0.164451,0.288629,0.271761,0.209332,0.166143,0.160110,0.141288,0.088664,0.116601,0.084297,0.113802,0.199099
inv_df.9,0.088132,0.114763,0.203330,0.226416,0.165385,0.181714,0.099053,0.187371,0.116884,0.290070,0.129232,0.172375,0.198781,0.140691,0.128256,0.229416,0.304986,0.172063,0.359201,0.319951,0.203196,0.152455,0.167140,0.125203,0.135765,0.300546,0.114293,0.156711,0.279645,0.243750,0.189214,0.155610,0.149875,0.119775,0.067040,0.112126,0.074808,0.116881,0.178346
INVENTORY.1,0.100712,0.143392,0.185475,0.200933,0.195772,0.251913,0.109903,0.179525,0.158413,0.270032,0.169900,0.211447,0.237903,0.171660,0.131198,0.210732,0.322178,0.192135,0.374356,0.292610,0.192238,0.147055,0.163591,0.146009,0.136052,0.306881,0.129948,0.169966,0.318700,0.254449,0.173197,0.155563,0.157575,0.128634,0.071904,0.166019,0.111881,0.176031,0.230037
INVENTORY.138,0.130278,0.161236,0.200757,0.212168,0.210575,0.259078,0.125166,0.205163,0.164550,0.250798,0.172371,0.219761,0.245045,0.190074,0.150786,0.232120,0.353781,0.209401,0.376824,0.325107,0.219385,0.175985,0.177260,0.156937,0.175180,0.318251,0.153704,0.181329,0.343009,0.282991,0.170640,0.178185,0.177945,0.139278,0.059581,0.176489,0.089739,0.176892,0.235382
INVENTORY.9,0.121459,0.157782,0.201739,0.217440,0.211176,0.262248,0.125133,0.205249,0.156853,0.258060,0.162437,0.222610,0.245816,0.191206,0.150813,0.230436,0.355115,0.212267,0.379278,0.329112,0.221531,0.174869,0.181164,0.155030,0.175104,0.319269,0.150051,0.184236,0.342214,0.279518,0.175779,0.175510,0.176915,0.141443,0.054253,0.170707,0.083552,0.174956,0.228457
ORDERLINES.1,0.149461,0.181996,0.178208,0.139595,0.349722,0.367544,0.167371,0.155848,0.189716,0.320814,0.172222,0.364947,0.190105,0.191693,0.195131,0.277341,0.284187,0.141493,0.333850,0.258846,0.214960,0.184173,0.202475,0.119002,0.134186,0.321259,0.154421,0.136268,0.244688,0.227282,0.240224,0.142051,0.161367,0.146429,0.082721,0.118977,0.043221,0.113217,0.210367
ORDERLINES.1.1,0.122642,0.161326,0.152726,0.155154,0.316850,0.335908,0.168856,0.144527,0.177383,0.317194,0.162973,0.332498,0.215591,0.166642,0.178591,0.232930,0.258927,0.142632,0.337821,0.243625,0.194638,0.141268,0.191058,0.127577,0.120249,0.289160,0.129193,0.125341,0.227974,0.209820,0.211612,0.112473,0.151932,0.127923,0.067805,0.102246,0.052871,0.115965,0.205785
ORDERLINES.9117,0.087908,0.122545,0.131902,0.160790,0.261311,0.285896,0.153265,0.140196,0.153855,0.296648,0.145300,0.279541,0.201374,0.139882,0.150356,0.208023,0.233906,0.127279,0.304816,0.206865,0.160912,0.124018,0.175298,0.093469,0.104109,0.263852,0.112642,0.093390,0.195109,0.169661,0.190939,0.092700,0.110573,0.104237,0.046503,0.061049,0.011164,0.062547,0.178190
ORDERLINES.1.2,0.128948,0.164297,0.169124,0.160127,0.354093,0.374753,0.177371,0.148646,0.179251,0.309328,0.165968,0.365668,0.209729,0.172727,0.194677,0.268779,0.283701,0.140794,0.339533,0.266859,0.208701,0.178232,0.199394,0.133641,0.132963,0.314137,0.168018,0.142191,0.246316,0.225880,0.220740,0.121976,0.179972,0.149193,0.074009,0.104356,0.063690,0.128721,0.203457
ORDERLINES.2009/01/27,0.077117,0.110953,0.118968,0.123473,0.253828,0.293775,0.110836,0.147697,0.124438,0.311945,0.109728,0.271000,0.161776,0.147639,0.140161,0.200200,0.227106,0.101894,0.291597,0.177994,0.127297,0.160904,0.129730,0.036597,0.057319,0.297288,0.078391,0.105962,0.194691,0.146854,0.189999,0.103157,0.113283,0.101847,0.014532,0.031605,-0.039495,0.073580,0.175646
ORDERLINES.1001,0.084839,0.121109,0.138335,0.162365,0.267360,0.277937,0.157306,0.127335,0.144657,0.300693,0.132828,0.272675,0.195637,0.131334,0.154801,0.205531,0.221405,0.110670,0.292242,0.210287,0.158864,0.114691,0.164257,0.080439,0.089297,0.255468,0.111874,0.077865,0.180547,0.166230,0.183994,0.090023,0.110704,0.092557,0.042592,0.066785,0.010110,0.064856,0.185313
ORDERLINES.4380,0.082481,0.112608,0.126037,0.147111,0.235988,0.255333,0.144173,0.136397,0.150025,0.292082,0.146007,0.250939,0.208255,0.138237,0.140691,0.189442,0.227029,0.133473,0.299762,0.190133,0.148545,0.103718,0.156086,0.078265,0.085153,0.252896,0.107886,0.080680,0.192830,0.162575,0.181154,0.081571,0.090167,0.092845,0.040131,0.064280,0.015591,0.048879,0.179889
ORDERLINES.2,0.106059,0.145705,0.150847,0.166258,0.303800,0.318808,0.168040,0.148393,0.159409,0.303846,0.147616,0.312966,0.213261,0.156112,0.172717,0.237638,0.273203,0.136846,0.320882,0.232493,0.186511,0.137384,0.188187,0.107062,0.123308,0.284121,0.128634,0.103337,0.228772,0.197203,0.203763,0.099291,0.132621,0.124129,0.053566,0.081624,0.021219,0.081495,0.194742
ORDERLINES.2009/02/07,0.082064,0.114233,0.115974,0.126718,0.252603,0.292490,0.114994,0.148218,0.135092,0.313500,0.119582,0.269041,0.170852,0.152370,0.146106,0.194159,0.228517,0.108906,0.286317,0.177405,0.126090,0.164123,0.135787,0.040041,0.063248,0.289777,0.080323,0.108434,0.196669,0.150006,0.191101,0.110559,0.115602,0.102494,0.007215,0.038665,-0.038397,0.075190,0.176726
ORDERLINES.2001,0.080123,0.125965,0.143392,0.156299,0.255839,0.278223,0.169630,0.123424,0.135223,0.300942,0.118622,0.266902,0.199191,0.141248,0.178696,0.231369,0.243988,0.104271,0.316760,0.224688,0.158560,0.153476,0.157951,0.069184,0.071097,0.282107,0.141900,0.084355,0.208632,0.180276,0.188046,0.097507,0.109357,0.116887,0.044045,0.060746,-0.006037,0.085372,0.177175
ORDERLINES.9702,0.091917,0.122501,0.138565,0.161514,0.267727,0.286097,0.149287,0.136981,0.158683,0.295338,0.149554,0.280361,0.196589,0.137119,0.146892,0.204474,0.243619,0.128447,0.302529,0.210108,0.164056,0.119958,0.181530,0.095277,0.101627,0.263047,0.116494,0.094738,0.204467,0.171092,0.205934,0.102555,0.114553,0.106654,0.042970,0.072364,0.018399,0.054088,0.174317
ORDERLINES.3,0.135060,0.168778,0.180128,0.181327,0.328363,0.342306,0.164975,0.156172,0.187759,0.323433,0.171121,0.341321,0.210288,0.174207,0.175688,0.243916,0.295633,0.149033,0.344143,0.270111,0.207389,0.158276,0.207876,0.132955,0.133925,0.303937,0.139174,0.130719,0.255411,0.217090,0.234801,0.128594,0.175879,0.141209,0.066558,0.111669,0.051026,0.113348,0.202199
ORDERLINES.2009/03/04,0.074096,0.106833,0.124388,0.123294,0.256669,0.294838,0.108099,0.136164,0.133625,0.303820,0.114343,0.271279,0.160648,0.145075,0.139204,0.201645,0.227325,0.101907,0.284472,0.193471,0.127990,0.157347,0.129041,0.036782,0.055161,0.297298,0.089604,0.107733,0.195150,0.148739,0.187195,0.114877,0.121403,0.096555,0.007607,0.040566,-0.033260,0.066314,0.168595
ORDERLINES.3001,0.113145,0.139794,0.139026,0.125292,0.295543,0.315184,0.137044,0.124819,0.163987,0.304267,0.149928,0.308702,0.156842,0.154615,0.166010,0.242194,0.249179,0.119504,0.291504,0.225079,0.163590,0.145516,0.179069,0.097542,0.094869,0.319897,0.119422,0.121763,0.207843,0.172968,0.215588,0.117868,0.137478,0.119459,0.062861,0.081717,0.029808,0.071175,0.178649
ORDERLINES.9972,0.084689,0.117056,0.133387,0.149348,0.239765,0.252827,0.150942,0.132383,0.157160,0.298490,0.153442,0.254027,0.207578,0.139629,0.145779,0.189505,0.226955,0.125924,0.298725,0.192521,0.148531,0.108953,0.167543,0.084090,0.085952,0.251116,0.110529,0.083691,0.189767,0.159111,0.191761,0.080510,0.097488,0.091680,0.042656,0.059727,0.015858,0.046069,0.171227
ORDERLINES.2009/04/30,0.069478,0.105299,0.119757,0.118860,0.259454,0.292196,0.112126,0.138308,0.116937,0.304272,0.099763,0.272955,0.156401,0.137648,0.147491,0.219243,0.232921,0.099473,0.283850,0.196155,0.141438,0.166540,0.117217,0.030942,0.055675,0.309391,0.086757,0.093991,0.196363,0.158796,0.183359,0.107402,0.118286,0.093660,0.005428,0.043905,-0.039783,0.070793,0.176530
ORDERLINES.4001,0.122911,0.155325,0.136331,0.141444,0.281382,0.315156,0.148275,0.143266,0.182871,0.307200,0.172120,0.309223,0.199574,0.170216,0.163456,0.212033,0.267851,0.134693,0.326238,0.218012,0.183651,0.157901,0.192628,0.103529,0.112510,0.295561,0.127687,0.109296,0.238752,0.192939,0.220818,0.109956,0.133054,0.131221,0.061123,0.099526,0.034083,0.085199,0.208010
ORDERLINES.306,0.091994,0.124592,0.103702,0.111157,0.254882,0.278993,0.169120,0.145646,0.151917,0.303975,0.148970,0.277221,0.227905,0.155911,0.168763,0.201905,0.232650,0.134844,0.309187,0.174552,0.158075,0.119793,0.162161,0.087653,0.097721,0.269547,0.116595,0.096423,0.202653,0.172575,0.193904,0.077981,0.089292,0.100059,0.041782,0.061957,0.024617,0.068822,0.178601
ORDERLINES.2009/05/12,0.083049,0.118744,0.116231,0.126099,0.267657,0.304183,0.119495,0.150208,0.128447,0.314350,0.112415,0.284409,0.166348,0.150697,0.151056,0.209283,0.235771,0.104984,0.288753,0.183571,0.132276,0.168192,0.137104,0.045154,0.063051,0.306708,0.083969,0.111255,0.200560,0.153398,0.192151,0.100374,0.121209,0.106284,0.016854,0.035555,-0.032935,0.078200,0.176240
ORDERLINES.5001,0.088646,0.121300,0.127972,0.131312,0.265738,0.288110,0.131834,0.128248,0.161749,0.285021,0.156747,0.295446,0.193888,0.123441,0.129532,0.197956,0.249519,0.116914,0.296749,0.198011,0.167306,0.121802,0.179536,0.092919,0.101299,0.271597,0.113974,0.082604,0.213109,0.176734,0.189941,0.091105,0.121026,0.081453,0.044242,0.058786,0.034603,0.052504,0.203855
ORDERLINES.5549,0.086839,0.118162,0.131454,0.149180,0.244751,0.260177,0.150605,0.138206,0.155713,0.297994,0.151823,0.257995,0.207395,0.142436,0.145548,0.193974,0.226932,0.134808,0.301661,0.192642,0.153672,0.112071,0.163224,0.084216,0.089151,0.254971,0.111605,0.082485,0.190827,0.164575,0.188002,0.080837,0.093876,0.096137,0.043660,0.064321,0.017359,0.050868,0.180565
ORDERLINES.2009/06/08,0.078649,0.108123,0.105622,0.104888,0.243207,0.273061,0.103155,0.144726,0.120997,0.319447,0.106873,0.260545,0.161891,0.143376,0.137085,0.206842,0.237183,0.101349,0.288698,0.177930,0.129922,0.166709,0.126411,0.034442,0.055335,0.304497,0.075901,0.100508,0.200824,0.151933,0.189512,0.096703,0.104822,0.094863,0.009702,0.032826,-0.032969,0.067850,0.170601
ORDERLINES.6001,0.118579,0.152368,0.132367,0.133640,0.284206,0.305480,0.147437,0.143568,0.177731,0.301630,0.169983,0.307183,0.195069,0.163588,0.160211,0.207981,0.256592,0.134591,0.319255,0.207057,0.176059,0.160015,0.189400,0.101216,0.113049,0.282288,0.126610,0.104788,0.227637,0.189008,0.215390,0.105503,0.121779,0.126384,0.060365,0.090963,0.035922,0.087218,0.207235
ORDERLINES.5853,0.072667,0.104598,0.118596,0.136733,0.253082,0.271520,0.149611,0.136090,0.146619,0.266034,0.143467,0.276984,0.202840,0.115698,0.140292,0.197009,0.233679,0.119843,0.295358,0.190206,0.153627,0.118019,0.161137,0.083944,0.102239,0.258329,0.110130,0.069919,0.201275,0.174859,0.173982,0.081469,0.097618,0.087405,0.033616,0.053528,0.013179,0.047071,0.180837
ORDERLINES.2009/07/04,0.080878,0.113700,0.115046,0.124850,0.250928,0.295167,0.115201,0.157820,0.137227,0.314589,0.124040,0.268028,0.166008,0.155473,0.148140,0.203833,0.239158,0.109326,0.298460,0.180921,0.134294,0.169864,0.141322,0.041783,0.066573,0.303439,0.081078,0.114592,0.208894,0.159099,0.190658,0.108725,0.113971,0.110341,0.016311,0.041238,-0.033339,0.081281,0.179486
ORDERLINES.7001,0.105407,0.123315,0.173788,0.169000,0.241608,0.257116,0.116084,0.125274,0.158529,0.321830,0.149788,0.257377,0.170675,0.139933,0.127938,0.212957,0.256430,0.118118,0.306712,0.241253,0.171244,0.137656,0.183844,0.095534,0.085654,0.279762,0.116452,0.108510,0.214631,0.182847,0.215450,0.113912,0.143643,0.115005,0.070590,0.074591,0.044153,0.076916,0.196761
ORDERLINES.6079,0.085918,0.122962,0.135752,0.156257,0.264606,0.285824,0.152095,0.140627,0.151727,0.293734,0.142843,0.278311,0.199766,0.137701,0.149144,0.211393,0.233291,0.131199,0.304141,0.207017,0.160422,0.121947,0.173908,0.094007,0.106729,0.262098,0.112174,0.088098,0.195309,0.175510,0.187503,0.090067,0.107373,0.103652,0.046419,0.064274,0.010162,0.063911,0.183046
ORDERLINES.2009/08/16,0.104736,0.122997,0.120671,0.115367,0.251531,0.279850,0.114165,0.151086,0.130793,0.339323,0.115795,0.270573,0.173083,0.153467,0.155384,0.234956,0.237773,0.109074,0.305407,0.194514,0.144000,0.169273,0.144692,0.048260,0.070171,0.322173,0.090052,0.092178,0.198276,0.161599,0.213446,0.102817,0.104458,0.107407,0.020023,0.042507,-0.027885,0.077290,0.171673
ORDERLINES.8001,0.118371,0.155439,0.131468,0.137078,0.275678,0.308815,0.147136,0.139878,0.184319,0.311501,0.173245,0.302771,0.199578,0.169997,0.157809,0.203611,0.255546,0.130519,0.322058,0.208887,0.177708,0.151547,0.193570,0.104026,0.108212,0.282776,0.121968,0.105639,0.225064,0.188176,0.223462,0.108658,0.124211,0.122691,0.063626,0.092740,0.029779,0.087248,0.211394
ORDERLINES.1376,0.093055,0.125758,0.109474,0.113879,0.249428,0.272652,0.171913,0.139301,0.157383,0.311483,0.157138,0.271614,0.229296,0.157609,0.168511,0.196939,0.226483,0.131571,0.308667,0.172452,0.155326,0.117320,0.164287,0.091287,0.089140,0.262155,0.116301,0.095877,0.195134,0.167486,0.203003,0.078994,0.090420,0.099852,0.050938,0.065461,0.030145,0.071336,0.184638
ORDERLINES.2009/09/12,0.073482,0.108534,0.109566,0.118873,0.258156,0.295134,0.113219,0.147962,0.122300,0.306544,0.105217,0.275379,0.162489,0.143043,0.141887,0.200278,0.228720,0.099246,0.284893,0.175844,0.126361,0.163235,0.128152,0.039528,0.055137,0.297088,0.079181,0.107551,0.196291,0.147569,0.187013,0.100338,0.114096,0.099440,0.010952,0.031551,-0.040935,0.071936,0.170992
ORDERLINES.9001,0.103806,0.141089,0.150890,0.177614,0.301208,0.314080,0.182926,0.131339,0.172861,0.296153,0.162956,0.311838,0.213289,0.152839,0.189720,0.213125,0.265403,0.117178,0.323023,0.243152,0.187518,0.166151,0.188859,0.112996,0.096068,0.273971,0.173363,0.103401,0.227840,0.198067,0.215560,0.110494,0.151143,0.130073,0.058221,0.092025,0.025561,0.094831,0.199455
ORDERLINES.1697,0.091815,0.126561,0.141398,0.162920,0.280471,0.297740,0.162430,0.140181,0.153890,0.290424,0.141877,0.293925,0.203715,0.141132,0.160668,0.220282,0.237297,0.131767,0.304063,0.216507,0.166985,0.128130,0.173323,0.093756,0.113728,0.267035,0.121766,0.093433,0.197750,0.174643,0.188967,0.095158,0.118153,0.111250,0.042784,0.061126,0.010687,0.066629,0.178034
ORDERLINES.2009/10/24,0.080823,0.115002,0.112372,0.122105,0.252142,0.294633,0.109914,0.152921,0.128903,0.308108,0.113460,0.268033,0.163391,0.149501,0.140158,0.200246,0.227881,0.112723,0.283344,0.177164,0.127436,0.165446,0.136055,0.047238,0.069515,0.296389,0.081612,0.106342,0.196243,0.150773,0.189799,0.107302,0.115178,0.097879,0.007256,0.039394,-0.034453,0.073951,0.178966
ORDERLINES.10001,0.087655,0.123673,0.131713,0.153706,0.246076,0.267346,0.147343,0.124590,0.154618,0.308495,0.143139,0.259979,0.194661,0.137345,0.147245,0.203778,0.229044,0.121073,0.300376,0.206883,0.160700,0.126170,0.167983,0.084439,0.078559,0.259004,0.126941,0.087540,0.191089,0.166898,0.190266,0.095443,0.109236,0.108443,0.051311,0.068948,0.020257,0.069440,0.179632
ORDERLINES.6941,0.071021,0.107774,0.123420,0.140943,0.259623,0.278943,0.156017,0.140964,0.146483,0.268689,0.143508,0.284954,0.205955,0.118475,0.146099,0.199985,0.239197,0.117701,0.299886,0.197814,0.159737,0.124469,0.165192,0.086057,0.105681,0.262202,0.111875,0.073766,0.206443,0.181811,0.175970,0.082243,0.104534,0.090447,0.036116,0.053139,0.007553,0.051545,0.185322
ORDERLINES.2009/11/19,0.084460,0.114520,0.109331,0.112809,0.254386,0.290877,0.115546,0.145449,0.127182,0.324495,0.112008,0.272876,0.170423,0.150962,0.148831,0.209548,0.229065,0.109734,0.283935,0.181114,0.136410,0.169457,0.134406,0.042135,0.068946,0.299078,0.085749,0.107737,0.191133,0.150462,0.200589,0.104784,0.114621,0.099325,0.004475,0.033375,-0.027241,0.069696,0.165155
ORDERLINES.11001,0.093219,0.116872,0.172608,0.168647,0.260935,0.276522,0.127595,0.120479,0.152540,0.294709,0.144248,0.273161,0.186760,0.130014,0.135771,0.204886,0.252966,0.112188,0.308893,0.253403,0.172021,0.136838,0.183422,0.097061,0.088265,0.277908,0.127222,0.094688,0.213755,0.180541,0.195794,0.115172,0.153289,0.097225,0.054840,0.067198,0.040727,0.071339,0.183294
ORDERLINES.7259,0.082938,0.122312,0.136046,0.160877,0.270398,0.292867,0.158026,0.144466,0.149914,0.295279,0.140707,0.284345,0.201602,0.140249,0.156932,0.217689,0.238320,0.129851,0.306001,0.214226,0.166085,0.129688,0.173791,0.092745,0.112131,0.269068,0.117941,0.091031,0.197779,0.177249,0.190370,0.091657,0.109887,0.107982,0.045711,0.062421,0.008057,0.065312,0.183165
ORDERLINES.2009/12/16,0.081647,0.117257,0.113945,0.127603,0.254593,0.293839,0.112746,0.156033,0.134483,0.317463,0.120356,0.271207,0.172499,0.154286,0.145458,0.204524,0.233783,0.115773,0.297540,0.178694,0.133678,0.174947,0.139847,0.044531,0.067228,0.302747,0.086277,0.106995,0.201994,0.152798,0.195902,0.103146,0.112513,0.102250,0.014769,0.033594,-0.031901,0.077943,0.179679
orderlines_df.1,0.089732,0.118151,0.165903,0.174281,0.304945,0.323503,0.135332,0.151680,0.168007,0.303222,0.157853,0.317522,0.180259,0.131680,0.137907,0.220779,0.239478,0.135141,0.335259,0.248755,0.189934,0.119041,0.179889,0.114436,0.102348,0.277975,0.116744,0.133380,0.211904,0.196429,0.212107,0.118653,0.159400,0.104215,0.074705,0.096814,0.065340,0.083205,0.177450
orderlines_df.1.1,0.105945,0.126715,0.167758,0.174358,0.305355,0.316811,0.127601,0.138079,0.164600,0.296915,0.150150,0.310934,0.177693,0.132917,0.128323,0.222785,0.224351,0.130604,0.318655,0.251608,0.194715,0.112075,0.182033,0.121108,0.102920,0.274509,0.113349,0.128545,0.198844,0.191674,0.197624,0.125292,0.162597,0.105091,0.067626,0.100402,0.070635,0.092435,0.167282
orderlines_df.9117,0.062918,0.084053,0.115415,0.142736,0.227657,0.251130,0.133907,0.143125,0.146464,0.255383,0.145830,0.256253,0.191380,0.099050,0.114930,0.184593,0.211159,0.114414,0.297297,0.188044,0.156413,0.093508,0.162663,0.090833,0.092969,0.242291,0.094699,0.079197,0.189042,0.174728,0.166845,0.090287,0.101396,0.072729,0.047288,0.052789,0.022871,0.034616,0.155246
orderlines_df.1.2,0.105306,0.123193,0.164160,0.174690,0.293027,0.302088,0.129801,0.152444,0.173947,0.293080,0.158550,0.305077,0.186340,0.133300,0.128850,0.225350,0.250490,0.135631,0.327404,0.252546,0.196225,0.117496,0.192589,0.127924,0.116661,0.278586,0.105085,0.122832,0.223923,0.203439,0.207332,0.124934,0.160858,0.110005,0.069041,0.102260,0.061406,0.083636,0.172497
orderlines_df.2009/01/27,0.058844,0.083478,0.132879,0.121780,0.241662,0.279180,0.099041,0.142679,0.116835,0.281440,0.103644,0.257306,0.155504,0.116405,0.130086,0.199914,0.194098,0.094699,0.290636,0.191087,0.136573,0.144361,0.132923,0.050769,0.063056,0.281336,0.073055,0.095600,0.173092,0.152737,0.176458,0.105974,0.124392,0.075150,0.026780,0.033285,-0.033253,0.065147,0.142583
orderlines_df.1001,0.094707,0.121570,0.156164,0.169016,0.289011,0.305913,0.138373,0.137839,0.165576,0.288173,0.155839,0.298550,0.179553,0.125629,0.142486,0.213693,0.227224,0.119745,0.325672,0.253987,0.186150,0.123392,0.176758,0.115178,0.095227,0.268307,0.141824,0.127016,0.209137,0.199435,0.191496,0.125084,0.168021,0.104372,0.071409,0.099497,0.069654,0.098598,0.157749
orderlines_df.4380,0.061325,0.081833,0.116078,0.143736,0.233384,0.257269,0.128549,0.143166,0.141056,0.248483,0.139090,0.258819,0.191564,0.096253,0.113481,0.187376,0.215268,0.118535,0.296717,0.193070,0.158533,0.090477,0.156619,0.089876,0.095441,0.245553,0.096385,0.079135,0.194360,0.179028,0.159676,0.091873,0.101371,0.075269,0.041990,0.057095,0.021168,0.036682,0.156878
orderlines_df.2,0.083699,0.111673,0.145570,0.170361,0.270283,0.284193,0.140248,0.152116,0.152739,0.283478,0.141823,0.278571,0.196108,0.126827,0.135757,0.223297,0.243250,0.132468,0.318389,0.229199,0.182538,0.104798,0.180102,0.108185,0.111678,0.264882,0.103654,0.103414,0.210564,0.193809,0.184171,0.100652,0.127383,0.101445,0.057462,0.077278,0.030591,0.062944,0.161295
orderlines_df.2009/02/07,0.065793,0.093432,0.135108,0.135413,0.265081,0.289633,0.110514,0.152076,0.127487,0.290414,0.106113,0.278006,0.165481,0.120625,0.135044,0.212769,0.205912,0.102780,0.297614,0.209758,0.145185,0.150603,0.149606,0.065379,0.071864,0.291643,0.080221,0.103314,0.182710,0.160961,0.190443,0.112620,0.136559,0.087501,0.026827,0.039113,-0.026109,0.070123,0.143550
orderlines_df.2001,0.071595,0.101942,0.150350,0.165222,0.238257,0.248178,0.145680,0.127752,0.131319,0.281275,0.115598,0.242294,0.184220,0.115593,0.147203,0.227094,0.217288,0.104886,0.312208,0.226457,0.160895,0.118239,0.155565,0.079954,0.070448,0.263304,0.118082,0.084452,0.191566,0.180465,0.183033,0.108279,0.111803,0.099041,0.053132,0.067804,0.010264,0.066395,0.154260
